durations,speakers,titles,views,hashtags
14:56,Michael Green,What the Social Progress Index can reveal about your country,1.1M,"Informative, Inspiring"
18:06,Shai Agassi,A new ecosystem for electric cars,1.1M,"Persuasive, Inspiring"
13:38,Dan Gross,Why gun violence can't be our new normal,1.1M,"Inspiring, Persuasive"
11:13,Giorgia Lupi,How we can find ourselves in data,1.1M,"Informative, Inspiring"
16:14,Zeynep Tufekci,"Online social change: easy to organize, hard to win",1.1M,"Informative, Inspiring"
20:01,Jimmy Wales,The birth of Wikipedia,1.1M,"Informative, Inspiring"
19:00,David Deutsch,Chemical scum that dream of distant quasars,1.1M,"Persuasive, Fascinating"
 4:22,Shubhendu Sharma,"An engineer's vision for tiny forests, everywhere",1.1M,"Inspiring, Ingenious"
16:34,Rachel Botsman,The case for collaborative consumption,1.1M,"Inspiring, Persuasive"
13:12,Stephen Burt,Why people need poetry,1.1M,"Beautiful, Fascinating"
18:44,David Brooks,The social animal,1.1M,"Inspiring, Fascinating"
17:43,Janna Levin,The sound the universe makes,1.1M,"Fascinating, Informative"
 8:00,Evan Williams,The voices of Twitter users,1.1M,"Informative, Fascinating"
13:18,Cathy O'Neil,The era of blind faith in big data must end,1.1M,"Informative, Persuasive"
 3:51,Joe Sabia,The technology of storytelling,1.1M,"Funny, Ingenious"
 5:32,Elizabeth Wayne,We can hack our immune cells to fight cancer,1.1M,"Informative, Fascinating"
13:22,Jude Kelly,Why women should tell the stories of humanity,1.1M,"Inspiring, Persuasive"
17:57,Dan Phillips,Creative houses from reclaimed stuff,1.1M,"Inspiring, Ingenious"
 6:01,Ashton Cofer,A young inventor's plan to recycle Styrofoam,1.1M,"Inspiring, Ingenious"
13:38,Ilona Szabó de Carvalho,4 lessons I learned from taking a stand against drugs and gun violence,1.1M,"Inspiring, Informative"
15:19,Anant Agarwal,Why massive open online courses (still) matter,1.1M,"Inspiring, Informative"
11:25,Gayle Tzemach Lemmon,Meet the women fighting on the front lines of an American war,1.1M,"Inspiring, Beautiful"
 7:09,Becky Blanton,The year I was homeless,1.1M,"Inspiring, Courageous"
 7:32,Rachel Armstrong,Architecture that repairs itself?,1.1M,"Ingenious, Fascinating"
 6:23,John Hodgman,"Design, explained.",1.1M,"Funny, Ingenious"
 8:00,Maria Bezaitis,Why we need strangeness,1.1M,"Informative, Persuasive"
11:55,Jeanne Gang,Buildings that blend nature and city,1.1M,"Inspiring, Fascinating"
 6:06,Carrie Nugent,Adventures of an asteroid hunter,1.1M,"Informative, Fascinating"
14:39,Leymah Gbowee,"Unlock the intelligence, passion, greatness of girls",1.1M,"Inspiring, Courageous"
15:18,Sonia Shah,3 reasons we still haven’t gotten rid of malaria,1.1M,"Informative, Persuasive"
17:11,Mustafa Akyol,Faith versus tradition in Islam,1.1M,"Informative, Persuasive"
17:43,Yves Behar,Designing objects that tell stories,1.1M,"Inspiring, Ingenious"
 6:17,Roberto D'Angelo + Francesca Fedeli,"In our baby's illness, a life lesson",1.1M,"Inspiring, Beautiful"
 7:20,Charles Moore,Seas of plastic,1.1M,"Informative, Persuasive"
13:50,Stefano Mancuso,The roots of plant intelligence,1.1M,"Fascinating, Informative"
14:42,J.D. Vance,America's forgotten working class,1.1M,"Inspiring, Informative"
20:46,Clay Shirky,Institutions vs. collaboration,1.1M,"Informative, Fascinating"
17:27,David R. Williams,How racism makes us sick,1.1M,"Informative, Inspiring"
10:52,Salvatore Iaconesi,What happened when I open-sourced my brain cancer,1.1M,"Inspiring, Courageous"
 5:04,Matilda Ho,The future of good food in China,1.1M,"Inspiring, Informative"
18:30,Dimitar Sasselov,How we found hundreds of potential Earth-like planets,1.1M,"Fascinating, Informative"
12:16,Tan Le,My immigration story,1.1M,"Inspiring, Courageous"
16:56,Avi Rubin,All your devices can be hacked,1.1M,"Informative, Fascinating"
17:47,Fred Jansen,How to land on a comet,1.1M,"Fascinating, Inspiring"
19:54,António Guterres,Refugees have the right to be protected,1.1M,"Informative, Inspiring"
 5:50,Keller Rinaudo,A mini robot — powered by your phone,1.1M,"Fascinating, Ingenious"
14:41,Rory Bremner,A one-man world summit,1.1M,"Funny, Ingenious"
16:01,Matthew Carter,My life in typefaces,1.1M,"Informative, Fascinating"
14:54,Jun Wang,How digital DNA could help you make better health choices,1.1M,"Informative, Inspiring"
 9:45,AJ Jacobs,The world's largest family reunion ... we're all invited!,1.1M,"Funny, Fascinating"
19:29,Roger Ebert,Remaking my voice,1.1M,"Inspiring, Courageous"
 6:24,Jackson Bird,How to talk (and listen) to transgender people,1.1M,"Courageous, Informative"
17:40,Nancy Kanwisher,A neural portrait of the human mind,1.1M,"Informative, Fascinating"
21:06,David Perry,Are games better than life?,1.1M,"Fascinating, Informative"
20:30,Raj Panjabi,No one should die because they live too far from a doctor,1.1M,"Inspiring, Courageous"
 9:05,Eben Bayer,Are mushrooms the new plastic?,1.1M,"Ingenious, Inspiring"
18:47,Natalie MacMaster,Fiddling in reel time,1.1M,"Beautiful, Inspiring"
14:35,Oren Yakobovich,Hidden cameras that film injustice in the world’s most dangerous places,1.1M,"Courageous, Inspiring"
12:15,Nathan Wolfe,The jungle search for viruses,1.1M,"Informative, Fascinating"
15:00,Malcolm Gladwell,The strange tale of the Norden bombsight,1.1M,"Informative, Fascinating"
16:08,Quyen Nguyen,Color-coded surgery,1.1M,"Ingenious, Fascinating"
11:55,Tom Shannon,Anti-gravity sculpture,1.1M,"Beautiful, Ingenious"
13:07,Kate Marvel,Can clouds buy us more time to solve climate change?,1.1M,"Informative, Persuasive"
19:14,Naomi Oreskes,Why we should trust scientists,1.1M,"Informative, Persuasive"
11:51,Kate Stafford,How human noise affects ocean habitats,1.1M,"Informative, Fascinating"
12:38,Kitra Cahana,"My father, locked in his body but soaring free",1.1M,"Inspiring, Beautiful"
14:53,David Griffin,How photography connects us,1.1M,"Beautiful, Inspiring"
15:57,Frances Larson,Why public beheadings get millions of views,1.1M,"Informative, Persuasive"
18:40,Khadija Gbla,My mother’s strange definition of empowerment,1.1M,"Courageous, Inspiring"
12:14,Robert J. Gordon,"The death of innovation, the end of growth",1.1M,"Informative, Persuasive"
 8:51,Holly Morris,Why stay in Chernobyl? Because it's home.,1.1M,"Informative, Fascinating"
18:28,Amanda Burden,How public spaces make cities work,1.1M,"Inspiring, Informative"
 5:58,Bastian Schaefer,A 3D-printed jumbo jet?,1.1M,"Fascinating, Inspiring"
14:42,Paula Johnson,His and hers … healthcare,1.1M,"Informative, Persuasive"
 8:56,Tim Kruger,Can we stop climate change by removing CO2 from the air?,1.1M,"Informative, Inspiring"
10:25,Dao Nguyen,What makes something go viral?,1.1M,"Informative, Fascinating"
13:44,Lawrence Lessig,The unstoppable walk to political reform,1.1M,"Inspiring, Persuasive"
 8:11,Alex Laskey,How behavioral science can lower your energy bill,1.1M,"Informative, Persuasive"
 6:24,Diane Benscoter,How cults rewire the brain,1.1M,"Courageous, Informative"
14:16,Jon Mooallem,How the teddy bear taught us compassion,1.1M,"Informative, Inspiring"
20:13,Ngozi Okonjo-Iweala,Want to help Africa? Do business here,1.1M,"Inspiring, Informative"
19:30,Ross Lovegrove,"Organic design, inspired by nature",1.1M,"Inspiring, Beautiful"
12:15,Sarah Kay,How many lives can you live?,1.1M,"Beautiful, Inspiring"
 6:04,Max Little,A test for Parkinson's with a phone call,1.1M,"Ingenious, Informative"
 7:04,Angelo Vermeulen,"How to go to space, without having to go to space",1.1M,"Informative, Fascinating"
15:33,T. Morgan Dixon and Vanessa Garrison,The trauma of systematic racism is killing Black women. A first step toward change...,1.1M,"Inspiring, Beautiful"
16:23,Paul Bloom,Can prejudice ever be a good thing?,1.1M,"Informative, Persuasive"
22:42,Steven Pinker,Human nature and the blank slate,1.1M,"Informative, Fascinating"
14:25,Jennifer Granick,How the US government spies on people who protest — including you,1.1M,"Informative, Courageous"
 7:03,Fawn Qiu,Easy DIY projects for kid engineers,1.1M,"Inspiring, Ingenious"
13:45,Eve Ensler,What security means to me,1.1M,"Inspiring, Courageous"
13:46,Joe Lassiter,We need nuclear power to solve climate change,1.1M,"Informative, Persuasive"
18:17,Craig Venter,"Watch me unveil ""synthetic life""",1.1M,"Fascinating, Ingenious"
13:49,Mary Bassett,Why your doctor should care about social justice,1.1M,"Informative, Inspiring"
 5:35,Dan Ariely,Beware conflicts of interest,1.1M,"Informative, Persuasive"
12:21,Richard J. Berry,A practical way to help the homeless find work and safety,1.1M,"Inspiring, Informative"
14:12,Matthew Williams,Special Olympics let me be myself — a champion,1.1M,"Inspiring, Courageous"
18:48,Alice Dreger,Is anatomy destiny?,1.1M,"Informative, Fascinating"
 4:36,Camille A. Brown,A visual history of social dance in 25 moves,1M,"Beautiful, Informative"
12:37,Rory Sutherland,Sweat the small stuff,1M,"Funny, Persuasive"
 7:06,Ian Goldin,Navigating our global future,1M,"Informative, Persuasive"
 7:55,Eric Berlow and Sean Gourley,Mapping ideas worth spreading,1M,"Fascinating, Informative"
11:10,Esta Soler,How we turned the tide on domestic violence (Hint: the Polaroid helped),1M,"Inspiring, Courageous"
 7:05,Karim Abouelnaga,A summer school kids actually want to attend,1M,"Inspiring, Persuasive"
 4:24,Lucianne Walkowicz,Finding planets around other stars,1M,"Informative, Fascinating"
 7:32,Marlon Peterson,Am I not human? A call for criminal justice reform,1M,"Inspiring, Courageous"
16:56,Jeff Speck,The walkable city,1M,"Informative, Persuasive"
15:52,Monica Araya,A small country with big ideas to get rid of fossil fuels,1M,"Inspiring, Informative"
14:56,E.O. Wilson,Advice to a young scientist,1M,"Inspiring, Persuasive"
16:41,Kent Larson,Brilliant designs to fit more people in every city,1M,"Ingenious, Inspiring"
 6:15,Jaap de Roode,How butterflies self-medicate,1M,"Informative, Fascinating"
15:30,Deborah Lipstadt,Behind the lies of Holocaust denial,1M,"Inspiring, Informative"
20:50,Scott Fraser,Why eyewitnesses get it wrong,1M,"Informative, Persuasive"
12:27,Niki Okuk,"When workers own companies, the economy is more resilient",1M,"Inspiring, Informative"
14:04,Cynthia Breazeal,The rise of personal robots,1M,"Fascinating, Inspiring"
13:04,Sebastian Kraves,The era of personal DNA testing is here,1M,"Informative, Inspiring"
 9:49,Mary Norris,The nit-picking glory of The New Yorker's Comma Queen,1M,"Funny, Informative"
11:41,Anna Rosling Rönnlund,"See how the rest of the world lives, organized by income",1M,"Informative, Fascinating"
 7:10,Nadia Lopez,Why open a school? To close a prison,1M,"Inspiring, Courageous"
19:54,Gus Casely-Hayford,The powerful stories that shaped Africa,1M,"Informative, Inspiring"
10:51,Radhika Nagpal,What intelligent machines can learn from a school of fish,1M,"Informative, Fascinating"
 8:03,Pearl Arredondo,"My story, from gangland daughter to star teacher",1M,"Inspiring, Courageous"
12:02,Alastair Gray,How fake handbags fund terrorism and organized crime,1M,"Informative, Persuasive"
15:57,Siddharthan Chandran,Can the damaged brain repair itself?,1M,"Inspiring, Informative"
 6:11,Peter Norvig,"The 100,000-student classroom",1M,"Inspiring, Informative"
 8:56,Aparna Rao,Art that craves your attention,1M,"Funny, Fascinating"
15:48,Christopher Bell,Bring on the female superheroes!,1M,"Inspiring, Informative"
 6:30,Jason Shen,"Looking for a job? Highlight your ability, not your experience",1M,"Inspiring, Informative"
21:20,Peter Donnelly,How juries are fooled by statistics,1M,"Informative, Persuasive"
 6:43,Tim Berners-Lee,A Magna Carta for the web,1M,"Informative, Inspiring"
18:05,Tania Simoncelli,Should you be able to patent a human gene?,1M,"Informative, Inspiring"
11:56,Rebecca MacKinnon,We can fight terror without sacrificing our rights,1M,"Informative, Courageous"
16:27,Robert Gupta,Between music and medicine,1M,"Inspiring, Beautiful"
12:48,Anthony D. Romero,This is what democracy looks like,1M,"Inspiring, Courageous"
14:49,Kaki King,"Playing ""Pink Noise"" on guitar",1M,"Beautiful, Fascinating"
 6:19,Nina Tandon,Could tissue engineering mean personalized medicine?,1M,"Informative, Fascinating"
15:21,Allan Jones,A map of the brain,1M,"Informative, Fascinating"
14:28,Adam Sadowsky,How to engineer a viral music video,1M,"Ingenious, Funny"
14:09,Ione Wells,How we talk about sexual assault online,1M,"Courageous, Inspiring"
13:50,Mechai Viravaidya,How Mr. Condom made Thailand a better place for life and love,1M,"Funny, Inspiring"
18:03,Jeffrey Brown,How we cut youth violence in Boston by 79 percent,1M,"Inspiring, Persuasive"
13:18,Steve Howard,Let's go all-in on selling sustainability,1M,"Inspiring, Persuasive"
12:20,Wingham Rowan,A new kind of job market,1M,"Informative, Ingenious"
17:04,Ben Saunders,To the South Pole and back — the hardest 105 days of my life,1M,"Inspiring, Courageous"
 9:55,Catarina Mota,Play with smart materials,1M,"Informative, Inspiring"
10:44,Eli Beer,The fastest ambulance? A motorcycle,1M,"Inspiring, Courageous"
 6:40,Drew Curtis,How I beat a patent troll,1M,"Funny, Informative"
14:51,Christiana Figueres,The inside story of the Paris climate agreement,1M,"Inspiring, Informative"
21:15,Anote Tong,My country will be underwater soon — unless we work together,1M,"Informative, Persuasive"
15:50,Erin McKean,The joy of lexicography,1M,"Funny, Informative"
 6:33,Andrew Bastawrous,Get your next eye exam on a smartphone,1M,"Inspiring, Ingenious"
 6:59,Sarah Parcak,Hunting for Peru's lost civilizations — with satellites,1M,"Fascinating, Inspiring"
 5:27,Mei Lin Neo,The fascinating secret lives of giant clams,1M,"Informative, Fascinating"
14:39,David S. Rose,How to pitch to a VC,1M,"Informative, Persuasive"
11:14,Amos Winter,The cheap all-terrain wheelchair,1M,"Ingenious, Inspiring"
18:48,Gabby Giffords and Mark Kelly,Be passionate. Be courageous. Be your best.,1M,"Inspiring, Courageous"
18:22,Sheryl WuDunn,Our century's greatest injustice,1M,"Inspiring, Persuasive"
16:41,John Maeda,"How art, technology and design inform creative leaders",1M,"Inspiring, Informative"
18:03,Charles Fleischer,All things are Moleeds,1M,"Funny, Ingenious"
11:25,Carolyn Bertozzi,What the sugar coating on your cells is trying to tell you,1M,"Informative, Fascinating"
 8:09,Sharmeen Obaid-Chinoy,Inside a school for suicide bombers,1M,"Informative, Courageous"
10:38,Prumsodun Ok,The magic of Khmer classical dance,1M,"Beautiful, Inspiring"
 6:04,Jacek Utko,Can design save newspapers?,1M,"Inspiring, Persuasive"
17:10,Jonathan Harris,The Web's secret stories,1M,"Fascinating, Ingenious"
12:29,Michelle Obama,"A passionate, personal case for education",1M,"Inspiring, Persuasive"
12:26,Veerle Provoost,Do kids think of sperm donors as family?,1M,"Informative, Inspiring"
10:20,Dena Simmons,How students of color confront impostor syndrome,1M,"Inspiring, Beautiful"
15:25,Natasha Hurley-Walker,How radio telescopes show us unseen galaxies,1M,"Fascinating, Informative"
15:52,Emma Marris,Nature is everywhere — we just need to learn to see it,1M,"Inspiring, Informative"
13:34,Samantha Nutt,The real harm of the global arms trade,1M,"Courageous, Inspiring"
 4:33,Will Potter,The shocking move to criminalize nonviolent protest,1M,"Informative, Courageous"
12:59,Richard Weller,Could the sun be good for your heart?,1M,"Informative, Fascinating"
15:25,Steve Ramirez and Xu Liu,A mouse. A laser beam. A manipulated memory.,1M,"Fascinating, Informative"
14:36,Dorothy Roberts,The problem with race-based medicine,1M,"Informative, Persuasive"
12:23,Teresa Njoroge,What I learned serving time for a crime I didn't commit,1M,"Inspiring, Courageous"
19:46,Norman Lear and Eric Hirshberg,An entertainment icon on living a life of meaning,1M,"Inspiring, Beautiful"
 5:56,Bahia Shehab,A thousand times no,1M,"Courageous, Inspiring"
11:05,Rocío Lorenzo,How diversity makes teams more innovative,1M,"Inspiring, Informative"
14:36,Vicki Arroyo,Let's prepare for our new climate,1M,"Informative, Persuasive"
14:55,Simon Anholt,Who would the rest of the world vote for in your country's election?,1M,"Inspiring, Persuasive"
16:52,Theaster Gates,"How to revive a neighborhood: with imagination, beauty and art",1M,"Inspiring, Informative"
 5:44,Marco Tempest,"Augmented reality, techno-magic",1M,"Funny, Ingenious"
 9:18,Joan Blades and John Gable,Free yourself from your filter bubbles,1M,"Inspiring, Informative"
12:50,Michel Laberge,How synchronized hammer strikes could generate nuclear fusion,1M,"Informative, Ingenious"
16:51,Paul Collier,"The ""bottom billion""",1M,"Persuasive, Informative"
11:54,Caitlin Doughty,A burial practice that nourishes the planet,1M,"Informative, Persuasive"
12:45,Justin Hall-Tipping,Freeing energy from the grid,1M,"Inspiring, Ingenious"
13:37,David Sedlak,4 ways we can avoid a catastrophic drought,1M,"Informative, Persuasive"
14:48,Bernie Krause,The voice of the natural world,1M,"Beautiful, Fascinating"
22:25,Aimee Mullins,Changing my legs - and my mindset,1M,"Inspiring, Courageous"
15:36,Johanna Blakley,Lessons from fashion's free culture,1M,"Informative, Persuasive"
18:49,Eva Vertes,Meet the future of cancer research,1M,"Inspiring, Fascinating"
 8:37,Lara Setrakian,3 ways to fix a broken news industry,1M,"Informative, Inspiring"
13:08,Joseph Ravenell,How barbershops can keep men healthy,1M,"Inspiring, Informative"
15:44,Stacy Smith,The data behind Hollywood's sexism,1M,"Informative, Persuasive"
17:08,Scott McCloud,The visual magic of comics,1M,"Fascinating, Funny"
17:13,Elaine Morgan,I believe we evolved from aquatic apes,1M,"Persuasive, Fascinating"
10:49,Teitur,Home is a song I've always remembered,1M,"Beautiful, Inspiring"
 6:26,Tom Wujec,3 ways the brain creates meaning,1M,"Informative, Fascinating"
 8:29,Françoise Mouly,The stories behind The New Yorker's iconic covers,1M,"Informative, Inspiring"
15:52,Uri Alon,Why science demands a leap into the unknown,1M,"Inspiring, Fascinating"
 9:05,Eric Mead,The magic of the placebo,1M,"Funny, Fascinating"
 5:22,Todd Scott,An intergalactic guide to using a defibrillator,1M,"Funny, Informative"
 6:12,James Patten,The best computer interface? Maybe ... your hands,1M,"Ingenious, Fascinating"
16:28,Tom Chatfield,7 ways games reward the brain,1M,"Informative, Fascinating"
 9:45,Lewis Pugh,My mind-shifting Everest swim,1M,"Inspiring, Courageous"
14:17,Steven Wise,Chimps have feelings and thoughts. They should also have rights,1M,"Inspiring, Informative"
16:45,Chris Domas,The 1s and 0s behind cyber warfare,1M,"Informative, Fascinating"
12:06,Gary  Greenberg,The beautiful nano details of our world,1M,"Beautiful, Fascinating"
12:00,Dan Bricklin,Meet the inventor of the electronic spreadsheet,1M,"Inspiring, Informative"
 7:48,Levon Biss,"Mind-blowing, magnified portraits of insects",1M,"Beautiful, Fascinating"
11:04,Nadine Hachach-Haram,How augmented reality could change the future of surgery,1M,"Informative, Inspiring"
12:28,Jonathan Drori,What we think we know,1M,"Informative, Fascinating"
10:31,Jack Conte,How artists can (finally) get paid in the digital age,1M,"Inspiring, Informative"
34:25,Edward Burtynsky,My wish: Manufactured landscapes and green education,1M,"Informative, Inspiring"
11:41,Myriam Sidibe,The simple power of hand-washing,1M,"Informative, Inspiring"
21:58,Shonda Rhimes and Cyndi Stivers,The future of storytelling,1M,"Informative, Fascinating"
 5:34,Nellie McKay,"""Mother of Pearl,"" ""If I Had You""",1M,"Funny, Beautiful"
14:48,Nina Jablonski,Skin color is an illusion,1M,"Informative, Fascinating"
 7:59,Deepika Kurup,A young scientist's quest for clean water,1M,"Inspiring, Informative"
24:13,Naná Vasconcelos and Vincent Moon,Hidden music rituals around the world,1M,"Beautiful, Inspiring"
14:17,Noah Feldman,Hamilton vs. Madison and the birth of American partisanship,1M,"Informative, Inspiring"
15:40,Carolyn Steel,How food shapes our cities,1M,"Informative, Inspiring"
 5:50,Hillel Cooperman,LEGO for grownups,1M,"Funny, Fascinating"
17:50,Don Tapscott,Four principles for the open world,1M,"Inspiring, Informative"
 3:32,Sofi Tukker and Betta Lemme,"""Awoo""",1M,"Funny, Beautiful"
 6:42,Curtis Wong and Roy Gould,A preview of the WorldWide Telescope,1M,"Fascinating, Beautiful"
11:05,Timothy Prestero,"Design for people, not awards",1M,"Inspiring, Informative"
 7:49,Robert Palmer,The Panama Papers exposed a huge global problem. What's next?,1M,"Informative, Persuasive"
20:12,Bran Ferren,"To create for the ages, let's combine art and engineering",1M,"Inspiring, Fascinating"
 7:01,Beth Malone,How my dad's dementia changed my idea of death (and life),1M,"Beautiful, Courageous"
18:19,Marcus du Sautoy,"Symmetry, reality's riddle",1M,"Fascinating, Informative"
11:51,Nabila Alibhai,Why people of different faiths are painting their houses of worship yellow,1M,"Inspiring, Beautiful"
11:38,Erin Marie Saltman,How young people join violent extremist groups — and how to stop them,1M,"Informative, Inspiring"
 4:19,Sanford Biggers,An artist's unflinching look at racial violence,1M,"Inspiring, Beautiful"
13:10,Bill Bernat,How to connect with depressed friends,1M,"Informative, Inspiring"
21:35,Antonio Donato Nobre,The magic of the Amazon: A river that flows invisibly all around us,1M,"Fascinating, Informative"
 9:01,Mohamed Ali,The link between unemployment and terrorism,1M,"Inspiring, Informative"
14:46,Ian Dunbar,Dog-friendly dog training,1M,"Informative, Inspiring"
13:03,Meklit Hadero,The unexpected beauty of everyday sounds,1M,"Beautiful, Inspiring"
17:21,Harvey Fineberg,Are we ready for neo-evolution?,1M,"Fascinating, Informative"
 4:49,Prosanta Chakrabarty,"Clues to prehistoric times, found in blind cavefish",1M,"Informative, Fascinating"
14:09,Chika Ezeanya-Esiobu,How Africa can use its traditional knowledge to make progress,1M,"Inspiring, Courageous"
13:27,Mike Kinney,A pro wrestler's guide to confidence,1M,"Inspiring, Funny"
17:10,Robert Muggah,The biggest risks facing cities — and some solutions,1M,"Informative, Inspiring"
16:34,Rebecca Onie,What if our healthcare system kept us healthy?,1M,"Inspiring, Persuasive"
15:24,Rebecca Newberger Goldstein and Steven Pinker,The long reach of reason,1M,"Informative, Persuasive"
12:32,Eric Whitacre,Virtual Choir Live,1M,"Beautiful, Inspiring"
13:50,Mark Kendall,Demo: A needle-free vaccine patch that's safer and way cheaper,1M,"Ingenious, Fascinating"
15:24,Amanda Bennett,We need a heroic narrative for death,1M,"Inspiring, Courageous"
11:57,Robin Morgan,4 powerful poems about Parkinson's and growing older,1M,"Beautiful, Inspiring"
17:08,Marcus Byrne,The dance of the dung beetle,1M,"Fascinating, Informative"
23:05,Anna Deavere Smith,Four American characters,1M,"Fascinating, Inspiring"
 8:59,Robin Murphy,These robots come to the rescue after a disaster,1M,"Informative, Fascinating"
13:08,Gerard Ryle,How the Panama Papers journalists broke the biggest leak in history,1M,"Courageous, Informative"
18:53,Nancy Frates,Meet the mom who started the Ice Bucket Challenge,1M,"Inspiring, Courageous"
16:35,Fields Wicker-Miurin,Learning from leadership's missing manual,1M,"Inspiring, Informative"
10:31,Hector Garcia,"We train soldiers for war. Let's train them to come home, too",1M,"Inspiring, Informative"
15:54,Craig Venter,On the verge of creating synthetic life,1M,"Fascinating, Informative"
19:58,Joshua Prince-Ramus,Behind the design of Seattle's library,1M,"Ingenious, Inspiring"
13:07,Melvin Russell,"I love being a police officer, but we need reform",1M,"Inspiring, Courageous"
12:42,Adam de la Zerda,We can start winning the war against cancer,1M,"Informative, Fascinating"
19:37,Neil MacGregor,2600 years of history in one object,1M,"Fascinating, Informative"
20:14,Seth Godin,This is broken,1M,"Funny, Informative"
15:34,Pierre Thiam,A forgotten ancient grain that could help Africa prosper,1M,"Inspiring, Informative"
17:00,Naomi McDougall Jones,What it's like to be a woman in Hollywood,1M,"Inspiring, Persuasive"
14:22,Siyanda Mohutsiwa,How young Africans found a voice on Twitter,1M,"Inspiring, Informative"
11:55,Anjali Tripathi,Why Earth may someday look like Mars,1M,"Informative, Fascinating"
18:51,Yasheng Huang,Does democracy stifle economic growth?,1M,"Informative, Persuasive"
16:18,Mina Bissell,Experiments that point to a new understanding of cancer,1M,"Fascinating, Inspiring"
13:20,David Gallo,Life in the deep oceans,1M,"Fascinating, Beautiful"
 5:53,Sangu Delle,"In praise of macro — yes, macro — finance in Africa",1M,"Informative, Inspiring"
 5:25,Damon Davis,Courage is contagious,1M,"Inspiring, Courageous"
 4:32,Ziyah Gafić,"Everyday objects, tragic histories",1M,"Informative, Inspiring"
10:37,Barat Ali Batoor,My desperate journey with a human smuggler,1M,"Courageous, Informative"
 7:56,Duarte Geraldino,What we're missing in the debate about immigration,1M,"Inspiring, Informative"
15:26,Kimberley Motley,How I defend the rule of law,1M,"Courageous, Inspiring"
11:48,Ben Wellington,How we found the worst place to park in New York City — using big data,1M,"Informative, Persuasive"
 7:44,Xavier Vilalta,Architecture at home in its community,1M,"Inspiring, Ingenious"
11:55,Andrew Fitzgerald,Adventures in Twitter fiction,1M,"Informative, Fascinating"
11:51,Charity Wayua,A few ways to fix a government,1M,"Inspiring, Informative"
12:30,Ali Carr-Chellman,Gaming to re-engage boys in learning,1M,"Informative, Persuasive"
 9:13,Andreas Raptopoulos,No roads? There's a drone for that,1M,"Ingenious, Inspiring"
 4:11,Camille Seaman,Haunting photos of polar ice,1M,"Beautiful, Fascinating"
12:43,Salil Dudani,How jails extort the poor,1M,"Informative, Inspiring"
 5:20,Sarah Parcak,Archaeology from space,1M,"Informative, Fascinating"
 5:24,Nancy Lublin,Texting that saves lives,1M,"Inspiring, Informative"
 6:44,Stanley McChrystal,The military case for sharing knowledge,1M,"Informative, Inspiring"
18:29,Paddy Ashdown,The global power shift,1M,"Persuasive, Informative"
18:10,Juan Enriquez,Using biology to rethink the energy challenge,1M,"Persuasive, Informative"
 7:26,Niti Bhan,The hidden opportunities of the informal economy,1M,"Informative, Fascinating"
18:49,Kimberlé Crenshaw and Abby Dobson,The urgency of intersectionality,1M,"Informative, Inspiring"
 7:17,Seth Berkley,The troubling reason why vaccines are made too late ... if they're made at all,1M,"Informative, Persuasive"
10:15,Natalie Panek,Let's clean up the space junk orbiting Earth,1M,"Informative, Persuasive"
 8:37,Tapiwa Chiwewe,You don't have to be an expert to solve big problems,1M,"Inspiring, Courageous"
18:12,Srikumar Rao,Plug into your hard-wired happiness,1M,"Inspiring, Persuasive"
10:58,Mike Biddle,We can recycle plastic,1M,"Ingenious, Inspiring"
 3:06,Lee Cronin,Print your own medicine,1M,"Fascinating, Ingenious"
 6:04,Skylar Tibbits,Can we make things that make themselves?,1M,"Ingenious, Fascinating"
16:03,Victoria Pratt,How judges can show respect,1M,"Inspiring, Informative"
 4:50,Armando Azua-Bustos,The most Martian place on Earth,1M,"Informative, Fascinating"
12:11,Heather Barnett,What humans can learn from semi-intelligent slime,1M,"Fascinating, Informative"
13:35,John Hardy,My green school dream,1M,"Inspiring, Beautiful"
12:19,Chris McKnett,The investment logic for sustainability,1M,"Informative, Persuasive"
14:28,Amar Inamdar,The thrilling potential for off-grid solar energy,1M,"Informative, Inspiring"
14:25,Caitlin Quattromani and Lauran Arledge,How our friendship survives our opposing politics,1M,"Inspiring, Courageous"
11:15,Mallory Soldner,Your company's data could help end world hunger,1M,"Informative, Inspiring"
16:25,Shimon Schocken,The self-organizing computer course,999K,"Inspiring, Ingenious"
18:15,Joseph Nye,Global power shifts,999K,"Informative, Persuasive"
16:38,David Deutsch,A new way to explain explanation,999K,"Persuasive, Informative"
10:13,Alex Steffen,The shareable future of cities,998K,"Inspiring, Informative"
 6:50,Erik Schlangen,"A ""self-healing"" asphalt",998K,"Ingenious, Informative"
 3:29,Brian Cox,What went wrong at the LHC,997K,"Informative, Fascinating"
 7:30,Jacqueline Novogratz,An escape from poverty,997K,"Inspiring, Beautiful"
14:12,Ameenah Gurib-Fakim,Humble plants that hide surprising secrets,997K,"Informative, Fascinating"
 9:18,Anika Paulson,How I found myself through music,996K,"Beautiful, Inspiring"
18:10,Johan Rockstrom,Let the environment guide our development,995K,"Informative, Persuasive"
25:23,Nicholas Negroponte,"5 predictions, from 1984",995K,"Fascinating, Informative"
 6:34,Abigail Washburn,Building US-China relations ... by banjo,995K,"Inspiring, Beautiful"
 8:38,Ameera Harouda,Why I put myself in danger to tell the stories of Gaza,994K,"Courageous, Inspiring"
11:40,Chris Downey,Design with the blind in mind,993K,"Inspiring, Beautiful"
